Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"1702,Minor Concepting,Minor 3D,Minor 3D,,,,,"
"1307,Minor Concepting,Minor 3D,Minor Game Design,Minor Game Design,Minor Game Design,,,"
"2693,Minor Concepting,Minor Art \'n\' Sound,Minor Concepting,,,,,"
"3110,Minor Concepting,Minor Art \'n\' Sound,,,,,,"
"3407,Minor Concepting,Minor Art \'n\' Sound,,,,,,"
"1723,Minor Concepting,Minor Art\'n\'sound,,,,,,"
"3093,Minor Concepting,Minor Concepting,Minor Art \'n\' Sound,,,,,"
"2738,Minor Concepting,Minor Concepting,Minor Concepting,Minor 3D,Minor 3D,,,"
"1454,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,,,"
"2880,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,,,,"
"3222,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,,,,"
"3151,Minor Concepting,Minor Concepting,Minor Concepting,Minor Multimediaal Reclamebureau,,,,"
"1603,Minor Concepting,Minor Concepting,Minor Concepting,,,,,"
"2442,Minor Concepting,Minor Concepting,Minor Concepting,,,,,"
"3132,Minor Concepting,Minor Concepting,Minor Concepting,,,,,"
"3223,Minor Concepting,Minor Concepting,Minor Concepting,,,,,"
"3243,Minor Concepting,Minor Concepting,Minor Frisian Design Factory,,,,,"
"2710,Minor Concepting,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,"
"2595,Minor Concepting,Minor Concepting,Minor Ondernemen,,,,,"
"2561,Minor Concepting,Minor Concepting,Minor Ondernemen,,,,,"
"1359,Minor Concepting,Minor Concepting,Minor The Next Web,Minor The Next Web,Minor The Next Web,Minor The Next Web,,"
"811,Minor Concepting,Minor Concepting,,,,,,"
"3145,Minor Concepting,Minor Concepting,,,,,,"
"1513,Minor Concepting,Minor Concepting,,,,,,"
"2762,Minor Concepting,Minor Concepting,,,,,,"
"2700,Minor Concepting,Minor Concepting,,,,,,"
"3437,Minor Concepting,Minor Concepting,,,,,,"
"3443,Minor Concepting,Minor Concepting,,,,,,"
"3409,Minor Concepting,Minor Concepting,,,,,,"
"3610,Minor Concepting,Minor Concepting,,,,,,"
"3095,Minor Concepting,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,,,"
"1316,Minor Concepting,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,"
"3115,Minor Concepting,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,"
"3144,Minor Concepting,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,"
"1642,Minor Concepting,Minor Crossmedia,Minor Crossmedia,,,,,"
"3156,Minor Concepting,Minor Crossmedia,Minor The Next Web,,,,,"
"3180,Minor Concepting,Minor Crossmedia,Minor Transmedia Storytelling,Minor Concepting,,,,"
"1580,Minor Concepting,Minor Game Design,Minor Game Design,Minor Game Design,,,,"
"3259,Minor Concepting,Minor Game Design,,,,,,"
"1724,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,"
"3412,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Concepting,,,,,"
"3080,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Concepting,,,,,"
"1709,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,"
"2694,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,"
"3457,Minor Concepting,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,,"
"2655,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3499,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3549,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3515,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3470,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3539,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"3368,Minor Concepting,Minor Multimediaal Reclamebureau,,,,,,"
"1482,Minor Concepting,Minor The Next Web,Minor The Next Web,Minor The Next Web,Minor The Next Web,,,"
"2531,Minor Concepting,Minor Transmedia Storytelling,,,,,,"
"3363,Minor Concepting,Minor Transmedia Storytelling,,,,,,"
"3385,Minor Concepting,Minor Transmedia Storytelling,,,,,,"
"3517,Minor Concepting,Minor Transmedia Storytelling,,,,,,"
"1427,Minor Concepting,,,,,,,"
"1429,Minor Concepting,,,,,,,"
"1537,Minor Concepting,,,,,,,"
"3359,Minor Concepting,,,,,,,"
"3513,Minor Concepting,,,,,,,"
"3440,Minor Concepting,,,,,,,"
"3394,Minor Concepting,,,,,,,"
"3357,Minor Concepting,,,,,,,"
"3467,Minor Concepting,,,,,,,"
"3585,Minor Concepting,,,,,,,"
"3584,Minor Concepting,,,,,,,"
"3614,Minor Concepting,,,,,,,"
"3651,Minor Concepting,,,,,,,"
"3605,Minor Concepting,,,,,,,"
"3718,Minor Concepting,,,,,,,"
"3654,Minor Concepting,,,,,,,"
"3759,Minor Concepting,,,,,,,"
"2580,Minor Crossmedia,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,"
"3203,Minor Crossmedia,Minor 3D,Minor 3D,,,,,"
"1750,Minor Crossmedia,Minor 3D,,,,,,"
"2841,Minor Crossmedia,Minor Art \'n\' Sound,Minor 3D,Minor 3D,,,,"
"2822,Minor Crossmedia,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Concepting,,,,"
"3374,Minor Crossmedia,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,"
"3128,Minor Crossmedia,Minor Art \'n\' Sound,,,,,,"
"1288,Minor Crossmedia,Minor Art & Sound,Minor Multimediaal Reclamebureau,Minor Crossmedia,Minor Art \'n\' Sound,,,"
